wiki_id,name,adduct,confidence,entropy_sim,sim_gap,signed_delta_rt,spectral_entropy,reason
aPUDE1U/2802,mianserin 2-Oxide,[M-H]-,0.086,0.525,0.139,18.8,2.6,RT off (+19s); weak spectral match (0.52)
aPUDE1U/1344,indoleacrylic acid,[M-H]-,0.087,0.669,0.0,-31.0,0.97,RT off (-31s); near-tie (gap=0.000)
aPUDE1U/1345,3-formyl-2-hydroxybenzoic acid,[M-H]-,0.088,0.878,0.018,-44.3,0.58,RT off (-44s); near-tie (gap=0.018)
aPUDE1U/1776,deoxycholic acid 3-sulfate,[M-H]-,0.089,0.845,0.107,49.2,0.28,RT off (+49s); very few peaks (entropy=0.28)
aPUDE1U/2244,phosphoenolpyruvic acid,[M-H]-,0.091,0.832,0.0,-38.8,0.22,RT off (-39s); near-tie (gap=0.000); very few peaks (entropy=0.22)
aPUDE1U/1343,zingerone,[M-H]-,0.091,0.558,0.074,23.6,2.02,RT off (+24s); weak spectral match (0.56)
aPUDE1U/2643,6-bromoindole-3-carboxaldehyde,[M-H]-,0.091,0.826,0.001,45.5,1.12,RT off (+46s); near-tie (gap=0.001)
aEKJ9AS/11294,morphine-3-glucuronide,[M+H]+,0.091,0.941,0.066,-49.5,2.06,RT off (-50s)
aPUDE1U/1558,N-acetylglutamine,[M-H]-,0.093,0.852,0.005,-42.2,2.5,RT off (-42s); near-tie (gap=0.005)
aPUDE1U/3119,chloramphenicol,[M-H]-,0.093,0.75,0.117,39.2,1.87,RT off (+39s)
aEKJ9AS/3028,2-methyl-3-pyridinol,[M+H]+,0.094,0.932,0.03,-44.4,2.24,RT off (-44s); near-tie (gap=0.030)
aEKJ9AS/3167,N-acetylglutamine,[M+Na]+,0.094,0.829,0.076,-41.8,1.65,RT off (-42s)
aPUDE1U/1897,5-methylorotic acid,[M-H-CO2]-,0.095,0.579,0.057,-25.6,2.03,RT off (-26s); weak spectral match (0.58)
aPUDE1U/2103,Pro-Glu,[M-H-H2O]-,0.095,0.784,0.343,70.1,2.68,RT off (+70s)
aPUDE1U/470,NP-017929,[M-H-C6H10O5]-,0.095,0.71,0.03,37.0,1.69,RT off (+37s)
aPUDE1U/1298,2-oxoheptanedioic acid,[M-H]-,0.095,0.583,0.08,-24.8,2.25,RT off (-25s); weak spectral match (0.58)
aEKJ9AS/13417,"z_similar to_1-(2-hydroxyethyl)-3-Methyl-6,7-Dihydro-5~{h}-Indazol-4-One",[M+H]+,0.096,0.714,0.36,-50.2,1.62,RT off (-50s)
aEKJ9AS/6104,3-methylpyrazole,[M+H]+,0.096,0.688,0.052,32.0,0.24,RT off (+32s); very few peaks (entropy=0.24)
aEKJ9AS/5497,N-acetyl-beta-galactosamine,[M+H-H2O]+,0.098,0.793,0.003,-36.8,3.01,RT off (-37s); near-tie (gap=0.003)
aEKJ9AS/4792,4-picoline b,[M+H]+,0.099,0.776,0.086,-37.4,2.04,RT off (-37s)
aPUDE1U/116,orotic acid,[M-H]-,0.099,0.781,0.1,-35.8,0.34,RT off (-36s); very few peaks (entropy=0.34)
aEKJ9AS/10123,trigonelline,[M+H]+,0.099,0.989,0.051,-46.6,1.78,RT off (-47s)
aEKJ9AS/9678,minoxidil,[M+H]+,0.1,0.929,0.021,56.4,2.37,RT off (+56s); near-tie (gap=0.021)
